4.4	-0.494837
10	-0.202525
6.6	-0.317237
9.9	-0.209587
6.5	-0.321407
4.3	-0.516447
9.8	-0.203573
4.2	-0.526329
6.4	-0.329722
9.7	-0.206451
4.1	-0.539605
6.3	-0.332421
4	-0.554615
9.6	-0.213173
6.2	-0.336938
9.5	-0.21528
6.1	-0.337825
3.9	-0.575524
9.4	-0.220492
6	-0.352745
3.8	-0.595502
9.3	-0.218455
5.9	-0.35955
3.7	-0.617022
9.2	-0.214182
5.8	-0.368867
3.6	-0.636999
9.1	-0.220588
5.7	-0.373051
9	-0.227136
3.5	-0.652151
5.6	-0.384501
3.4	-0.692305
8.9	-0.232077
5.5	-0.38702
8.8	-0.234731
3.3	-0.712739
8.7	-0.239017
5.4	-0.390233
3.2	-0.746352
8.6	-0.238663
5.3	-0.401484
3.1	-0.776919
5.2	-0.411476
8.5	-0.245552
3	-0.815267
5.1	-0.415004
8.4	-0.246008
2.9	-0.857818
8.3	-0.24311
5	-0.426313
2.8	-0.908087
4.9	-0.43538
8.2	-0.24613
2.7	-0.965976
4.8	-0.447576
8.1	-0.252973
2.6	-1.03262
8	-0.256996
4.7	-0.462092
2.5	-1.12175
7.9	-0.251528
4.6	-0.479133
2.4	-1.18868
7.8	-0.260363
4.5	-0.488199
1.9	-1.8045
7.7	-0.269243
2.3	-1.32546
1.8	-1.85526
7.6	-0.271017
2.2	-1.42381
1.7	-1.89498
7.5	-0.277475
2.1	-1.65535
1.6	-1.92436
7.4	-0.271942
2	-1.74122
1.5	-1.94816
7.3	-0.274834
1.2	-1.98529
1.4	-1.96508
7.2	-0.288617
1.1	-1.99111
1.3	-1.97729
7.1	-0.294445
1	-1.99398
7	-0.290461
0.8	-1.99643
0.9	-1.99553
6.9	-0.302092
0.7	-1.99667
0.5	-1.99679
6.8	-0.316202
0.6	-1.99679
6.7	-0.308813
0.4	-1.9968
0.3	-1.9968
0.2	-1.9968
0.1	-1.9968
